train_auc: 0.9779 valid_auc: 0.9754 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.775', 'bagging_fraction': '0.813', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.858', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9794 valid_auc: 0.9757 params {'num_leaves': 48, 'verbose': -1, 'feature_fraction': '0.671', 'bagging_fraction': '0.927', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.561', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9793 valid_auc: 0.9757 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.671', 'bagging_fraction': '0.920', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.432', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9779 valid_auc: 0.9751 params {'num_leaves': 32, 'verbose': -1, 'feature_fraction': '0.985', 'bagging_fraction': '0.858', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.021', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9798 valid_auc: 0.9756 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.859', 'bagging_fraction': '0.954', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.576', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9812 valid_auc: 0.9761 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.639', 'bagging_fraction': '0.973', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.752', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9758 valid_auc: 0.9743 params {'num_leaves': 8, 'verbose': -1, 'feature_fraction': '0.936', 'bagging_fraction': '0.811', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.359', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9789 valid_auc: 0.9756 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.621', 'bagging_fraction': '0.818', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.949', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9797 valid_auc: 0.9758 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.641', 'bagging_fraction': '0.889', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.220', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9793 valid_auc: 0.9756 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.729', 'bagging_fraction': '0.838', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.446', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9794 valid_auc: 0.9755 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.819', 'bagging_fraction': '0.980', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.594', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9770 valid_auc: 0.9747 params {'num_leaves': 16, 'verbose': -1, 'feature_fraction': '0.955', 'bagging_fraction': '0.839', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.683', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9783 valid_auc: 0.9752 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.892', 'bagging_fraction': '0.824', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.618', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9765 valid_auc: 0.9748 params {'num_leaves': 8, 'verbose': -1, 'feature_fraction': '0.626', 'bagging_fraction': '0.887', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.558', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9787 valid_auc: 0.9755 params {'num_leaves': 40, 'verbose': -1, 'feature_fraction': '0.603', 'bagging_fraction': '0.809', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.290', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9786 valid_auc: 0.9756 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.836', 'bagging_fraction': '0.955', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.499', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9761 valid_auc: 0.9745 params {'num_leaves': 8, 'verbose': -1, 'feature_fraction': '0.739', 'bagging_fraction': '0.810', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.764', 'max_depth': 8, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9796 valid_auc: 0.9756 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.729', 'bagging_fraction': '0.983', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.568', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 15, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9766 valid_auc: 0.9749 params {'num_leaves': 8, 'verbose': -1, 'feature_fraction': '0.605', 'bagging_fraction': '0.961', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.216', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9795 valid_auc: 0.9758 params {'num_leaves': 24, 'verbose': -1, 'feature_fraction': '0.622', 'bagging_fraction': '0.989', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.754', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 10, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9786 valid_auc: 0.9756 params {'num_leaves': 16, 'verbose': -1, 'feature_fraction': '0.685', 'bagging_fraction': '0.999', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '2.887', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9805 valid_auc: 0.9759 params {'num_leaves': 48, 'verbose': -1, 'feature_fraction': '0.699', 'bagging_fraction': '0.999', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.030', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9800 valid_auc: 0.9757 params {'num_leaves': 48, 'verbose': -1, 'feature_fraction': '0.771', 'bagging_fraction': '0.931', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.180', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9804 valid_auc: 0.9758 params {'num_leaves': 48, 'verbose': -1, 'feature_fraction': '0.704', 'bagging_fraction': '0.969', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.053', 'max_depth': 6, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9795 valid_auc: 0.9759 params {'num_leaves': 32, 'verbose': -1, 'feature_fraction': '0.649', 'bagging_fraction': '1.000', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '3.895', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
train_auc: 0.9795 valid_auc: 0.9758 params {'num_leaves': 32, 'verbose': -1, 'feature_fraction': '0.656', 'bagging_fraction': '0.947', 'learning_rate': 0.05, 'nthread': 4, 'min_child_weight': '4.014', 'max_depth': 10, 'objective': 'binary', 'min_child_samples': 20, 'bagging_freq': 1, 'metric': 'auc', 'boosting_type': 'gbdt'}
